id	chr	start	end	diseasetype	targetgene
DE_00001	chr21	47819654	47820374	Acute myeloid leukemia	ERG
DE_00002	chr10	43581812	43582711	Hirschsprung disease	RET
DE_00003	chr3	187602695	187702695	Acute lymphoblastic leukemia	BCL6
DE_00004	chr17	26132301	26139107	Classic hodgkin lymphoma	NOS2
DE_00005	chr3	187443146	187468463	Acute lymphoblastic leukemia	MYC
DE_00006	chr8	128857956	128964803	Acute lymphoblastic leukemia	MYC
DE_00007	chr3	187800876	187841876	Acute lymphoblastic leukemia	BCL6
DE_00008	chr3	187951516	187966329	Acute lymphoblastic leukemia	BCL6
DE_00009	chr11	31534353	31542527	Aniridia	PAX6
DE_00010	chr10	124217002	124220400	Age-related macular degeneration	HTRA1
DE_00011	chr10	23507305	23509305	Pancreatic agenesis	PTF1A
DE_00012	chr10	23507363	23509363	Pancreatic agenesis	PTF1A
DE_00013	chr10	23507365	23509365	Pancreatic agenesis	PTF1A
DE_00014	chr10	23507437	23509437	Pancreatic agenesis	PTF1A
DE_00015	chr10	23507446	23509446	Pancreatic agenesis	PTF1A
DE_00016	chr10	43580812	43583711	Hirschsprung disease	RET
DE_00017	chr1	105934	107935	Preaxial polydactyly 2	SHH
DE_00018	chr11	31649402	31649600	Aniridia	PAX6
DE_00019	chr11	31649602	31649800	Aniridia	PAX6
DE_00020	chr11	31649802	31650400	Aniridia	PAX6
DE_00021	chr11	31657002	31657200	Aniridia	PAX6
DE_00022	chr11	31658602	31658800	Aniridia	PAX6
DE_00023	chr11	31659602	31659800	Aniridia	PAX6
DE_00024	chr11	31662202	31662400	Aniridia	PAX6
DE_00025	chr11	31665602	31665800	Aniridia	PAX6
DE_00026	chr11	31665802	31667000	Aniridia	PAX6
DE_00027	chr11	31667002	31668400	Aniridia	PAX6
DE_00028	chr11	31668402	31669000	Aniridia	PAX6
DE_00029	chr11	31671002	31671200	Aniridia	PAX6
DE_00030	chr11	31672602	31673400	Aniridia	PAX6
